"批次/序列号码","内部参考号","产品/内部参考号","产品/名称","产品/产品类别/上级名称","产品/产品类别/中文名称","产品/CN 品牌","显示名称","在手数量","有效期","产品/批次可用","产品/预测数量","产品/打板","产品/计量单位","产品/基准成本","活动","产品/有效期","产品/销售价格","公司"
"L280101425","","CJ11175","Shunling Mala Seasoning | 顺岭 麻辣烧烤酱 8bags*500g","调味品","烧烤酱","顺岭","01-21-2028/0.0","0.0","2028-01-21","0.0","0.0","","Case","38.241","","540","54.5","Crestline Pacific Inc"
"L260501426","","CJ11175","Shunling Mala Seasoning | 顺岭 麻辣烧烤酱 8bags*500g","调味品","烧烤酱","顺岭","05-14-2026/0.0","0.0","2026-05-14","0.0","0.0","","Case","38.241","","540","54.5","Crestline Pacific Inc"
"L270401427","","H64218","Tianxian Peach Eggs | 田鲜 蜜桃皮蛋 20bags*500g","蛋","皮蛋","田鲜","04-24-2027/0.0","2.0","2027-04-24","6.0","6.0","9*13=117","Case","47.638","","360","54.0","Crestline Pacific Inc"
"L270201428","","H64218","Tianxian Peach Eggs | 田鲜 蜜桃皮蛋 20bags*500g","蛋","皮蛋","田鲜","02-24-2027/0.0","2.0","2027-02-24","6.0","6.0","9*13=117","Case","47.638","","360","54.0","Crestline Pacific Inc"
"L270101429","","H64218","Tianxian Peach Eggs | 田鲜 蜜桃皮蛋 20bags*500g","蛋","皮蛋","田鲜","01-27-2027/0.0","2.0","2027-01-27","6.0","6.0","9*13=117","Case","47.638","","360","54.0","Crestline Pacific Inc"
"L260201430","","H64218","Tianxian Peach Eggs | 田鲜 蜜桃皮蛋 20bags*500g","蛋","皮蛋","田鲜","02-26-2026/0.0","0.0","2026-02-26","6.0","6.0","9*13=117","Case","47.638","","360","54.0","Crestline Pacific Inc"
"L260801431","","H64218","Tianxian Peach Eggs | 田鲜 蜜桃皮蛋 20bags*500g","蛋","皮蛋","田鲜","08-05-2026/0.0","0.0","2026-08-05","6.0","6.0","9*13=117","Case","47.638","","360","54.0","Crestline Pacific Inc"
"L270101432","","H10356","Tianxian Matcha Eggs | 田鲜 抹茶皮蛋 8bags*400g","蛋","皮蛋","田鲜","01-13-2027/0.0","18.0","2027-01-13","18.0","18.0","12*5=60","Case","14.176","","360","20.0","Crestline Pacific Inc"
"L251201433","","H10356","Tianxian Matcha Eggs | 田鲜 抹茶皮蛋 8bags*400g","蛋","皮蛋","田鲜","12-20-2025/0.0","0.0","2025-12-20","18.0","18.0","12*5=60","Case","14.176","","360","20.0","Crestline Pacific Inc"
"L270501434","","L87190","Qiaohe Jujube Dried Vegetables | 桥禾 红枣枣 6bags*400g","蔬菜类干货","枣","桥禾","05-27-2027/0.0","9.0","2027-05-27","9.0","9.0","11*13=143","Case","79.921","","360","112.5","Crestline Pacific Inc"
"L260501435","","L19331","Qiaohe Chicken Dried Vegetables | 桥禾 鸡肉枣 12bags*100g","蔬菜类干货","枣","桥禾","05-19-2026/0.0","0.0","2026-05-19","0.0","1.0","14*7=98","Case","22.008","","360","32.5","Crestline Pacific Inc"
"L270101436","","L19331","Qiaohe Chicken Dried Vegetables | 桥禾 鸡肉枣 12bags*100g","蔬菜类干货","枣","桥禾","01-15-2027/0.0","0.0","2027-01-15","0.0","1.0","14*7=98","Case","22.008","","360","32.5","Crestline Pacific Inc"
"L270701437","","L19331","Qiaohe Chicken Dried Vegetables | 桥禾 鸡肉枣 12bags*100g","蔬菜类干货","枣","桥禾","07-06-2027/0.0","0.0","2027-07-06","0.0","1.0","14*7=98","Case","22.008","","360","32.5","Crestline Pacific Inc"
"L261101438","","F99275","Wantian Oolong Flour | 湾田 乌龙淀粉 8bags*70g","面粉&淀粉类","淀粉","湾田","11-30-2026/0.0","3.0","2026-11-30","6.0","8.0","16*6=96","Case","30.152","","540","35.0","Crestline Pacific Inc"
"L270501439","","F99275","Wantian Oolong Flour | 湾田 乌龙淀粉 8bags*70g","面粉&淀粉类","淀粉","湾田","05-14-2027/0.0","3.0","2027-05-14","6.0","8.0","16*6=96","Case","30.152","","540","35.0","Crestline Pacific Inc"
"L271101440","","F04177","Wantian Taro Flour | 湾田 芋头淀粉 24bags*500g","面粉&淀粉类","淀粉","湾田","11-20-2027/0.0","2.0","2027-11-20","2.0","4.0","14*10=140","Case","26.759","","540","32.0","Crestline Pacific Inc"
"L270901441","","F04177","Wantian Taro Flour | 湾田 芋头淀粉 24bags*500g","面粉&淀粉类","淀粉","湾田","09-02-2027/0.0","0.0","2027-09-02","2.0","4.0","14*10=140","Case","26.759","","540","32.0","Crestline Pacific Inc"
"L261101442","","F04177","Wantian Taro Flour | 湾田 芋头淀粉 24bags*500g","面粉&淀粉类","淀粉","湾田","11-06-2026/0.0","0.0","2026-11-06","2.0","4.0","14*10=140","Case","26.759","","540","32.0","Crestline Pacific Inc"
"2025-10-05","","F04177","Wantian Taro Flour | 湾田 芋头淀粉 24bags*500g","面粉&淀粉类","淀粉","湾田","10-05-2025/0.0","0.0","2025-10-05","2.0","4.0","14*10=140","Case","26.759","","540","32.0","Crestline Pacific Inc"
"L260101444","","F04177","Wantian Taro Flour | 湾田 芋头淀粉 24bags*500g","面粉&淀粉类","淀粉","湾田","01-21-2026/0.0","0.0","2026-01-21","2.0","4.0","14*10=140","Case","26.759","","540","32.0","Crestline Pacific Inc"
"L280401445","","F54267","Wantian Milk Flour | 湾田 牛奶混合粉 & 油炸粉 8bags*100g","面粉&淀粉类","混合粉 & 油炸粉","湾田","04-05-2028/0.0","1075.0","2028-04-05","2149.0","2149.0","9*5=45","Case","37.694","","730","52.0","Crestline Pacific Inc"
"L271101446","","F54267","Wantian Milk Flour | 湾田 牛奶混合粉 & 油炸粉 8bags*100g","面粉&淀粉类","混合粉 & 油炸粉","湾田","11-27-2027/0.0","1074.0","2027-11-27","2149.0","2149.0","9*5=45","Case","37.694","","730","52.0","Crestline Pacific Inc"
"L280101447","","F13189","Wantian BBQ Flour | 湾田 烧烤淀粉 24bags*150g","面粉&淀粉类","淀粉","湾田","01-18-2028/0.0","11.0","2028-01-18","11.0","18.0","7*9=63","Case","19.918","","540","999.0","Crestline Pacific Inc"
"L260801448","","F13189","Wantian BBQ Flour | 湾田 烧烤淀粉 24bags*150g","面粉&淀粉类","淀粉","湾田","08-11-2026/0.0","0.0","2026-08-11","11.0","18.0","7*9=63","Case","19.918","","540","27.0","Crestline Pacific Inc"
"L290801449","","VCA48126","Songmai BBQ Food | 松麦 烧烤Costume Jewelry 12bags*200g","Beauty & Health & Home","Costume Jewelry","松麦","08-31-2029/0.0","12.0","2029-08-31","23.0","49.0","9*13=117","Case","24.074","","3650","27.0","Crestline Pacific Inc"
"L320301450","","VCA48126","Songmai BBQ Food | 松麦 烧烤Costume Jewelry 12bags*200g","Beauty & Health & Home","Costume Jewelry","松麦","03-11-2032/0.0","11.0","2032-03-11","23.0","49.0","9*13=117","Case","24.074","","3650","27.0","Crestline Pacific Inc"
"L251201451","","VCA48126","Songmai BBQ Food | 松麦 烧烤Costume Jewelry 12bags*200g","Beauty & Health & Home","Costume Jewelry","松麦","12-10-2025/0.0","0.0","2025-12-10","23.0","49.0","9*13=117","Case","24.074","","3650","27.0","Crestline Pacific Inc"
"L250901452","","VCA48126","Songmai BBQ Food | 松麦 烧烤Costume Jewelry 12bags*200g","Beauty & Health & Home","Costume Jewelry","松麦","09-21-2025/0.0","0.0","2025-09-21","23.0","49.0","9*13=117","Case","24.074","","3650","27.0","Crestline Pacific Inc"
"L290101453","","E40151","WEIFU Tomato Spread | 味福 番茄黄糖 20bags*400g","蜂蜜果酱","黄糖","味福","01-27-2029/0.0","93.0","2029-01-27","93.0","150.0","4*8=32","Case","36.358","","1080","46.5","Crestline Pacific Inc"
"L271101454","","E90312","WEIFU Pickled Vegetable Spread | 味福 酸菜黄糖 12bags*70g","蜂蜜果酱","黄糖","味福","11-04-2027/0.0","11.0","2027-11-04","29.0","56.0","","Case","21.18","","1080","27.0","Crestline Pacific Inc"
"L281101455","","E90312","WEIFU Pickled Vegetable Spread | 味福 酸菜黄糖 12bags*70g","蜂蜜果酱","黄糖","味福","11-09-2028/0.0","9.0","2028-11-09","29.0","56.0","","Case","21.18","","1080","27.0","Crestline Pacific Inc"
"L270101456","","E90312","WEIFU Pickled Vegetable Spread | 味福 酸菜黄糖 12bags*70g","蜂蜜果酱","黄糖","味福","01-04-2027/0.0","9.0","2027-01-04","29.0","56.0","","Case","21.18","","1080","27.0","Crestline Pacific Inc"
"L270601457","","H97149","ANWAN Corn Eggs | 安湾 玉米皮蛋 8bags*150g","蛋","皮蛋","安湾","06-23-2027/0.0","0.0","2027-06-23","0.0","3.0","17*10=170","Case","20.806","","360","24.5","Crestline Pacific Inc"
"L270601458","","H97149","ANWAN Corn Eggs | 安湾 玉米皮蛋 8bags*150g","蛋","皮蛋","安湾","06-12-2027/0.0","0.0","2027-06-12","0.0","3.0","17*10=170","Case","20.806","","360","24.5","Crestline Pacific Inc"
"L270601459","","H97149","ANWAN Corn Eggs | 安湾 玉米皮蛋 8bags*150g","蛋","皮蛋","安湾","06-03-2027/0.0","0.0","2027-06-03","0.0","3.0","17*10=170","Case","20.806","","360","24.5","Crestline Pacific Inc"
"L270801460","","H27390","ANWAN Oolong Eggs | 安湾 乌龙皮蛋 8bags*1000g","蛋","皮蛋","安湾","08-22-2027/0.0","4.0","2027-08-22","8.0","11.0","","Case","47.136","","360","52.5","Crestline Pacific Inc"
"L270601461","","H27390","ANWAN Oolong Eggs | 安湾 乌龙皮蛋 8bags*1000g","蛋","皮蛋","安湾","06-17-2027/0.0","4.0","2027-06-17","8.0","11.0","","Case","47.136","","360","52.5","Crestline Pacific Inc"
"2025-10-25","","H27390","ANWAN Oolong Eggs | 安湾 乌龙皮蛋 8bags*1000g","蛋","皮蛋","安湾","10-25-2025/0.0","0.0","2025-10-25","8.0","11.0","","Case","47.136","","360","52.5","Crestline Pacific Inc"
"L280201463","","A20297","Qingjia Mango Drink | 青嘉 芒果椰奶 12btls*500ml","饮料","椰奶","青嘉","02-07-2028/0.0","26.0","2028-02-07","26.0","26.0","","Case","22.589","","1080","31.5","Crestline Pacific Inc"
"L270101464","","A51260","Qingjia Honey Drink | 青嘉 蜂蜜植物饮料 24btls*1500ml","饮料","植物饮料","青嘉","01-10-2027/0.0","8.0","2027-01-10","22.0","28.0","","Case","25.131","","360","28.5","Crestline Pacific Inc"
"L270301465","","A51260","Qingjia Honey Drink | 青嘉 蜂蜜植物饮料 24btls*1500ml","饮料","植物饮料","青嘉","03-21-2027/0.0","7.0","2027-03-21","22.0","28.0","","Case","25.131","","360","28.5","Crestline Pacific Inc"
"L260901466","","A51260","Qingjia Honey Drink | 青嘉 蜂蜜植物饮料 24btls*1500ml","饮料","植物饮料","青嘉","09-07-2026/0.0","7.0","2026-09-07","22.0","28.0","","Case","25.131","已到警报日期","360","28.5","Crestline Pacific Inc"
"L260501467","","A51260","Qingjia Honey Drink | 青嘉 蜂蜜植物饮料 24btls*1500ml","饮料","植物饮料","青嘉","05-05-2026/0.0","0.0","2026-05-05","22.0","28.0","","Case","25.131","","360","28.5","Crestline Pacific Inc"
"L260601468","","A51260","Qingjia Honey Drink | 青嘉 蜂蜜植物饮料 24btls*1500ml","饮料","植物饮料","青嘉","06-10-2026/0.0","0.0","2026-06-10","22.0","28.0","","Case","25.131","","360","28.5","Crestline Pacific Inc"
"L261001469","","A32259","Qingjia Mango Drink | 青嘉 芒果电解质饮料 24btls*500ml","饮料","电解质饮料","青嘉","10-19-2026/0.0","4.0","2026-10-19","4.0","5.0","13*12=156","Case","22.067","已到警报日期","360","26.5","Crestline Pacific Inc"
"L270201470","","A64167","Qingjia Vanilla Drink | 青嘉 香草果汁 20btls*280ml","饮料","果汁","青嘉","02-14-2027/0.0","35.0","2027-02-14","103.0","103.0","18*12=216","Case","18.975","","360","25.5","Crestline Pacific Inc"
"L270201471","","A64167","Qingjia Vanilla Drink | 青嘉 香草果汁 20btls*280ml","饮料","果汁","青嘉","02-15-2027/0.0","34.0","2027-02-15","103.0","103.0","18*12=216","Case","18.975","","360","999.0","Crestline Pacific Inc"
"L270601472","","A64167","Qingjia Vanilla Drink | 青嘉 香草果汁 20btls*280ml","饮料","果汁","青嘉","06-21-2027/0.0","34.0","2027-06-21","103.0","103.0","18*12=216","Case","18.975","","360","25.5","Crestline Pacific Inc"
"2026-05-16","","A64167","Qingjia Vanilla Drink | 青嘉 香草果汁 20btls*280ml","饮料","果汁","青嘉","05-16-2026/0.0","0.0","2026-05-16","103.0","103.0","18*12=216","Case","18.975","","360","25.5","Crestline Pacific Inc"
"L280301474","","VHK34360","Xishun Vanilla Food | 喜顺 香草Household 12bags*1000g","Beauty & Health & Home","Household","喜顺","03-27-2028/0.0","4.0","2028-03-27","4.0","4.0","8*11=88","Case","21.724","","1095","24.5","Crestline Pacific Inc"
"L281001475","","VSC86139","Xishun Sea Salt Food | 喜顺 海盐护肤品 250ml","Beauty & Health & Home","护肤品","喜顺","10-21-2028/0.0","47.0","2028-10-21","47.0","47.0","17*8=136","each","34.585","","1095","46.5","Crestline Pacific Inc"
"2026-03-05","","VSC86139","Xishun Sea Salt Food | 喜顺 海盐护肤品 250ml","Beauty & Health & Home","护肤品","喜顺","03-05-2026/0.0","0.0","2026-03-05","47.0","47.0","17*8=136","each","34.585","","1095","46.5","Crestline Pacific Inc"
"2025-09-25","","VSC86139","Xishun Sea Salt Food | 喜顺 海盐护肤品 250ml","Beauty & Health & Home","护肤品","喜顺","09-25-2025/0.0","0.0","2025-09-25","47.0","47.0","17*8=136","each","34.585","","1095","46.5","Crestline Pacific Inc"
"L271001478","","VHK28299","Xishun Original Food | 喜顺 原味Household 12bags*70g","Beauty & Health & Home","Household","喜顺","10-20-2027/0.0","334.0","2027-10-20","334.0","449.0","18*5=90","Case","13.062","","1095","16.0","Crestline Pacific Inc"
"L270101479","","A11261","Jinyue Oolong Drink | 金悦 乌龙即饮咖啡 12btls*1500ml","饮料","即饮咖啡","金悦","01-23-2027/0.0","69.0","2027-01-23","207.0","207.0","14*8=112","Case","16.497","","540","20.5","Crestline Pacific Inc"
"L280101480","","A11261","Jinyue Oolong Drink | 金悦 乌龙即饮咖啡 12btls*1500ml","饮料","即饮咖啡","金悦","01-12-2028/0.0","69.0","2028-01-12","207.0","207.0","14*8=112","Case","16.497","","540","20.5","Crestline Pacific Inc"
"L270201481","","A11261","Jinyue Oolong Drink | 金悦 乌龙即饮咖啡 12btls*1500ml","饮料","即饮咖啡","金悦","02-24-2027/0.0","69.0","2027-02-24","207.0","207.0","14*8=112","Case","16.497","","540","20.5","Crestline Pacific Inc"
"L270401482","","A39342","Jinyue Osmanthus Drink | 金悦 桂花牛奶 15btls*280ml","饮料","牛奶","金悦","04-30-2027/0.0","65.0","2027-04-30","65.0","84.0","4*13=52","Case","18.75","","360","25.5","Crestline Pacific Inc"
"L251201483","","A39342","Jinyue Osmanthus Drink | 金悦 桂花牛奶 15btls*280ml","饮料","牛奶","金悦","12-28-2025/0.0","0.0","2025-12-28","65.0","84.0","4*13=52","Case","18.75","","360","999.0","Crestline Pacific Inc"
"L251001484","","A39342","Jinyue Osmanthus Drink | 金悦 桂花牛奶 15btls*280ml","饮料","牛奶","金悦","10-02-2025/0.0","0.0","2025-10-02","65.0","84.0","4*13=52","Case","18.75","","360","25.5","Crestline Pacific Inc"
"L270301485","","A87379","Jinyue Tomato Drink | 金悦 番茄牛奶 15btls*480ml","饮料","牛奶","金悦","03-30-2027/0.0","3.0","2027-03-30","7.0","7.0","","Case","24.504","","360","27.5","Crestline Pacific Inc"
"L270801486","","A87379","Jinyue Tomato Drink | 金悦 番茄牛奶 15btls*480ml","饮料","牛奶","金悦","08-23-2027/0.0","2.0","2027-08-23","7.0","7.0","","Case","24.504","","360","27.5","Crestline Pacific Inc"
"L270701487","","A87379","Jinyue Tomato Drink | 金悦 番茄牛奶 15btls*480ml","饮料","牛奶","金悦","07-06-2027/0.0","2.0","2027-07-06","7.0","7.0","","Case","24.504","","360","27.5","Crestline Pacific Inc"
"L260801488","","A87379","Jinyue Tomato Drink | 金悦 番茄牛奶 15btls*480ml","饮料","牛奶","金悦","08-22-2026/0.0","0.0","2026-08-22","7.0","7.0","","Case","24.504","","360","27.5","Crestline Pacific Inc"
"L260401489","","A87379","Jinyue Tomato Drink | 金悦 番茄牛奶 15btls*480ml","饮料","牛奶","金悦","04-20-2026/0.0","0.0","2026-04-20","7.0","7.0","","Case","24.504","","360","27.5","Crestline Pacific Inc"
"L270301490","","A48176","Jinyue Garlic Drink | 金悦 蒜香奶茶 20btls*1500ml","饮料","奶茶","金悦","03-26-2027/0.0","34.0","2027-03-26","100.0","100.0","5*13=65","Case","11.005","","270","14.5","Crestline Pacific Inc"
"L261001491","","A48176","Jinyue Garlic Drink | 金悦 蒜香奶茶 20btls*1500ml","饮料","奶茶","金悦","10-29-2026/0.0","33.0","2026-10-29","100.0","100.0","5*13=65","Case","11.005","已到警报日期","270","14.5","Crestline Pacific Inc"
"L270501492","","A48176","Jinyue Garlic Drink | 金悦 蒜香奶茶 20btls*1500ml","饮料","奶茶","金悦","05-11-2027/0.0","33.0","2027-05-11","100.0","100.0","5*13=65","Case","11.005","","270","14.5","Crestline Pacific Inc"
"L250801493","","A48176","Jinyue Garlic Drink | 金悦 蒜香奶茶 20btls*1500ml","饮料","奶茶","金悦","08-21-2025/0.0","0.0","2025-08-21","100.0","100.0","5*13=65","Case","11.005","","270","14.5","Crestline Pacific Inc"
"2026-04-19","","A48176","Jinyue Garlic Drink | 金悦 蒜香奶茶 20btls*1500ml","饮料","奶茶","金悦","04-19-2026/0.0","0.0","2026-04-19","100.0","100.0","5*13=65","Case","11.005","","270","14.5","Crestline Pacific Inc"
"L270301495","","B98337","Baomai Jujube Snack | 宝麦 红枣芝士奶酪零食 10bags*500g","糖果零食","芝士奶酪零食","宝麦","03-16-2027/0.0","54.0","2027-03-16","108.0","140.0","","Case","30.984","","270","44.0","Crestline Pacific Inc"
"L270401496","","B98337","Baomai Jujube Snack | 宝麦 红枣芝士奶酪零食 10bags*500g","糖果零食","芝士奶酪零食","宝麦","04-21-2027/0.0","54.0","2027-04-21","108.0","140.0","","Case","30.984","","270","44.0","Crestline Pacific Inc"
"2025-10-18","","B98337","Baomai Jujube Snack | 宝麦 红枣芝士奶酪零食 10bags*500g","糖果零食","芝士奶酪零食","宝麦","10-18-2025/0.0","0.0","2025-10-18","108.0","140.0","","Case","30.984","","270","44.0","Crestline Pacific Inc"
"L260501498","","J55129","Baomai Honey Snack | 宝麦 蜂蜜果冻&布丁&麻薯 12bags*150g","糖果零食","果冻&布丁&麻薯","宝麦","05-25-2026/0.0","51.0","2026-05-25","51.0","51.0","12*7=84","Case","22.189","已到警报日期","540","27.5","Crestline Pacific Inc"
"2025-12-09","","J55129","Baomai Honey Snack | 宝麦 蜂蜜果冻&布丁&麻薯 12bags*150g","糖果零食","果冻&布丁&麻薯","宝麦","12-09-2025/0.0","0.0","2025-12-09","51.0","51.0","12*7=84","Case","22.189","","540","27.5","Crestline Pacific Inc"
"2026-06-07","","J55129","Baomai Honey Snack | 宝麦 蜂蜜果冻&布丁&麻薯 12bags*150g","糖果零食","果冻&布丁&麻薯","宝麦","06-07-2026/0.0","0.0","2026-06-07","51.0","51.0","12*7=84","Case","22.189","","540","27.5","Crestline Pacific Inc"
"L261101501","","E53365","Luxi Five Spice Seasoning | 鹿溪 五香蒜 1bag*50lb","调味品","蒜","鹿溪","11-09-2026/0.0","81.0","2026-11-09","81.0","82.0","4*8=32","Bag","23.884","已到警报日期","1080","27.5","Crestline Pacific Inc"
"2026-06-10","","E53365","Luxi Five Spice Seasoning | 鹿溪 五香蒜 1bag*50lb","调味品","蒜","鹿溪","06-10-2026/0.0","0.0","2026-06-10","81.0","82.0","4*8=32","Bag","23.884","","1080","999.0","Crestline Pacific Inc"
"L270501503","","G68336","Luxi Mala Seasoning | 鹿溪 麻辣醋 10bags*70g","调味品","醋","鹿溪","05-07-2027/0.0","40.0","2027-05-07","79.0","79.0","","Case","30.435","","720","45.0","Crestline Pacific Inc"
"L280501504","","G68336","Luxi Mala Seasoning | 鹿溪 麻辣醋 10bags*70g","调味品","醋","鹿溪","05-19-2028/0.0","39.0","2028-05-19","79.0","79.0","","Case","30.435","","720","999.0","Crestline Pacific Inc"
"2026-03-21","","G68336","Luxi Mala Seasoning | 鹿溪 麻辣醋 10bags*70g","调味品","醋","鹿溪","03-21-2026/0.0","0.0","2026-03-21","79.0","79.0","","Case","30.435","","720","45.0","Crestline Pacific Inc"
"L280901506","","E93105","Luxi Spicy Seasoning | 鹿溪 香辣蒜 1bag*25lb","调味品","蒜","鹿溪","09-01-2028/0.0","2.0","2028-09-01","4.0","4.0","","Bag","35.394","","1080","999.0","Crestline Pacific Inc"
"L281101507","","E93105","Luxi Spicy Seasoning | 鹿溪 香辣蒜 1bag*25lb","调味品","蒜","鹿溪","11-27-2028/0.0","2.0","2028-11-27","4.0","4.0","","Bag","35.394","","1080","46.5","Crestline Pacific Inc"
"L270301508","","E37140","XITIAN Green Tea Seasoning | 溪田 绿茶蒜 1bag*50lb","调味品","蒜","溪田","03-07-2027/0.0","4.0","2027-03-07","10.0","10.0","12*9=108","Bag","25.134","","1080","37.0","Crestline Pacific Inc"
"L290601509","","E37140","XITIAN Green Tea Seasoning | 溪田 绿茶蒜 1bag*50lb","调味品","蒜","溪田","06-17-2029/0.0","3.0","2029-06-17","10.0","10.0","12*9=108","Bag","25.134","","1080","37.0","Crestline Pacific Inc"
"L280301510","","E37140","XITIAN Green Tea Seasoning | 溪田 绿茶蒜 1bag*50lb","调味品","蒜","溪田","03-08-2028/0.0","3.0","2028-03-08","10.0","10.0","12*9=108","Bag","25.134","","1080","37.0","Crestline Pacific Inc"
"L280501511","","E64377","XITIAN BBQ Seasoning | 溪田 烧烤葱 8bags*200g","调味品","葱","溪田","05-27-2028/0.0","112.0","2028-05-27","224.0","224.0","","Case","23.136","","720","31.0","Crestline Pacific Inc"
"L280201512","","E64377","XITIAN BBQ Seasoning | 溪田 烧烤葱 8bags*200g","调味品","葱","溪田","02-20-2028/0.0","112.0","2028-02-20","224.0","224.0","","Case","23.136","","720","31.0","Crestline Pacific Inc"
"L251201513","","E64377","XITIAN BBQ Seasoning | 溪田 烧烤葱 8bags*200g","调味品","葱","溪田","12-08-2025/0.0","0.0","2025-12-08","224.0","224.0","","Case","23.136","","720","31.0","Crestline Pacific Inc"
"L270101514","","G39127","XITIAN Beef Seasoning | 溪田 牛肉豆瓣酱 20bags*100g","调味品","豆瓣酱","溪田","01-09-2027/0.0","253.0","2027-01-09","506.0","506.0","18*10=180","Case","44.575","","360","52.0","Crestline Pacific Inc"
"L270301515","","G39127","XITIAN Beef Seasoning | 溪田 牛肉豆瓣酱 20bags*100g","调味品","豆瓣酱","溪田","03-05-2027/0.0","253.0","2027-03-05","506.0","506.0","18*10=180","Case","44.575","","360","52.0","Crestline Pacific Inc"
"L260901516","","A82355","LIANGXING Mala Drink | 亮星 麻辣即饮茶 20btls*480ml","饮料","即饮茶","亮星","09-12-2026/0.0","1.0","2026-09-12","1.0","1.0","","Case","24.868","已到警报日期","360","30.0","Crestline Pacific Inc"
"L270501517","","A82355","LIANGXING Mala Drink | 亮星 麻辣即饮茶 20btls*480ml","饮料","即饮茶","亮星","05-10-2027/0.0","0.0","2027-05-10","1.0","1.0","","Case","24.868","","360","30.0","Crestline Pacific Inc"
"L270801518","","A82355","LIANGXING Mala Drink | 亮星 麻辣即饮茶 20btls*480ml","饮料","即饮茶","亮星","08-01-2027/0.0","0.0","2027-08-01","1.0","1.0","","Case","24.868","","360","30.0","Crestline Pacific Inc"
"L261001519","","A82262","LIANGXING Corn Drink | 亮星 玉米气泡水 20btls*280ml","饮料","气泡水","亮星","10-31-2026/0.0","10.0","2026-10-31","20.0","20.0","","Case","12.315","已到警报日期","360","18.5","Crestline Pacific Inc"
"L270301520","","A82262","LIANGXING Corn Drink | 亮星 玉米气泡水 20btls*280ml","饮料","气泡水","亮星","03-10-2027/0.0","10.0","2027-03-10","20.0","20.0","","Case","12.315","","360","18.5","Crestline Pacific Inc"
"L270701521","","A91391","LIANGXING Strawberry Drink | 亮星 草莓即饮茶 20btls*280ml","饮料","即饮茶","亮星","07-10-2027/0.0","36.0","2027-07-10","108.0","108.0","","Case","20.088","","360","26.5","Crestline Pacific Inc"
"L270701522","","A91391","LIANGXING Strawberry Drink | 亮星 草莓即饮茶 20btls*280ml","饮料","即饮茶","亮星","07-20-2027/0.0","36.0","2027-07-20","108.0","108.0","","Case","20.088","","360","26.5","Crestline Pacific Inc"
"L270101523","","A91391","LIANGXING Strawberry Drink | 亮星 草莓即饮茶 20btls*280ml","饮料","即饮茶","亮星","01-24-2027/0.0","36.0","2027-01-24","108.0","108.0","","Case","20.088","","360","26.5","Crestline Pacific Inc"
"L270601524","","VHB70174","Ruizhou Melon Care | 瑞舟 哈密瓜美加净 150ml","美容 & 健康 & 居家","美加净","瑞舟","06-22-2027/0.0","280.0","2027-06-22","280.0","280.0","16*7=112","each","13.348","","1095","15.5","Crestline Pacific Inc"
"L261201525","","VPC68251","Ruizhou Vanilla Care | 瑞舟 香草眼部护理 100ml","美容 & 健康 & 居家","眼部护理","瑞舟","12-04-2026/0.0","121.0","2026-12-04","241.0","241.0","13*13=169","each","13.991","","1095","17.5","Crestline Pacific Inc"
"L290301526","","VPC68251","Ruizhou Vanilla Care | 瑞舟 香草眼部护理 100ml","美容 & 健康 & 居家","眼部护理","瑞舟","03-20-2029/0.0","120.0","2029-03-20","241.0","241.0","13*13=169","each","13.991","","1095","17.5","Crestline Pacific Inc"
"2026-01-12","","VPC68251","Ruizhou Vanilla Care | 瑞舟 香草眼部护理 100ml","美容 & 健康 & 居家","眼部护理","瑞舟","01-12-2026/0.0","0.0","2026-01-12","241.0","241.0","13*13=169","each","13.991","","1095","17.5","Crestline Pacific Inc"
"L270201528","","E23351","Hechen Beef Spread | 禾晨 牛肉黄糖 24bags*400g","蜂蜜果酱","黄糖","禾晨","02-22-2027/0.0","15.0","2027-02-22","43.0","456.0","9*7=63","Case","26.03","","1080","30.0","Crestline Pacific Inc"
"L270401529","","E23351","Hechen Beef Spread | 禾晨 牛肉黄糖 24bags*400g","蜂蜜果酱","黄糖","禾晨","04-13-2027/0.0","14.0","2027-04-13","43.0","456.0","9*7=63","Case","26.03","","1080","30.0","Crestline Pacific Inc"
"L261101530","","E23351","Hechen Beef Spread | 禾晨 牛肉黄糖 24bags*400g","蜂蜜果酱","黄糖","禾晨","11-18-2026/0.0","14.0","2026-11-18","43.0","456.0","9*7=63","Case","26.03","已到警报日期","1080","30.0","Crestline Pacific Inc"
"L260201531","","E23351","Hechen Beef Spread | 禾晨 牛肉黄糖 24bags*400g","蜂蜜果酱","黄糖","禾晨","02-23-2026/0.0","0.0","2026-02-23","43.0","456.0","9*7=63","Case","26.03","","1080","30.0","Crestline Pacific Inc"
"L271201532","","G61239","Hechen Jujube Spread | 禾晨 红枣糖浆 6bags*150g","蜂蜜果酱","糖浆","禾晨","12-24-2027/0.0","0.0","2027-12-24","0.0","2.0","4*8=32","Case","14.586","","720","18.0","Crestline Pacific Inc"
"L261001533","","G61239","Hechen Jujube Spread | 禾晨 红枣糖浆 6bags*150g","蜂蜜果酱","糖浆","禾晨","10-09-2026/0.0","0.0","2026-10-09","0.0","2.0","4*8=32","Case","14.586","","720","18.0","Crestline Pacific Inc"
"L280101534","","E45114","Hechen Jujube Spread | 禾晨 红枣白糖 6bags*500g","蜂蜜果酱","白糖","禾晨","01-15-2028/0.0","105.0","2028-01-15","105.0","105.0","18*10=180","Case","36.291","","1080","43.0","Crestline Pacific Inc"
